property_id,property_name,address,city,state,min_rent,max_rent,availability,primary_image_url,image_urls,special,feature_highlights,exterior_amenities,interior_amenities,pet_policy,managed_by,built_year,min_sqft,max_sqft,photo_count,has_complete_core_info,phone,email,street_address,verified_address,address_match_status,address_notes,latitude,longitude,price_1br_raw,price_1br_min,price_1br_max,price_2br_raw,price_2br_min,price_2br_max,website,actual_website,last_scraped
11,Gray Street Lofts,299 W Gray St,Houston,TX,2100,2900,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP03.JPG,Move-in special: $300 off,Trendy neighborhood,Rooftop lounge,Hardwood floors,Cats and dogs allowed,Habitat Locators,2015,750,1300,3,true,,,,,,,,,,,,,,,,,
12,Weslayan Towers,3333 Weslayan,Houston,TX,2200,3200,1x1 to 3x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4599AP03.JPG,Luxury concessions,Premium community,Spa and sauna,Smart home technology,Pet-friendly with no restrictions,Habitat Locators,2018,800,1500,3,true,281/616-7288,,"3333 Weslayan, Houston, TX 77027","3333 Weslayan St, Houston, TX 77027",confirmed,,29.73563549999999,-95.4400332,750,750,750,"1,668-1,982",1668,1982,https://www.33thirtythree.com/,https://www.33thirtythree.com/,2026-05-27T23:26:35
13,Richmond Avenue Apartments,3660 Richmond Ave,Houston,TX,1700,2200,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4390AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4390AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4390AP03.JPG,First month free,Well-maintained community,Pool and fitness center,Updated appliances,Pets allowed,Habitat Locators,2009,650,1100,3,true,(346) 522-2539,,"3660 Richmond Ave Houston, TX 77046","3660 Richmond Ave, Houston, TX 77046",confirmed,,29.7340742,-95.4328678,500,500,500,"1,600-2,172",1600,2172,https://www.36sixty.com/,https://www.36sixty.com/,2026-05-27T23:26:43
14,Main Street Lofts,3800 Main St,Houston,TX,2000,2800,Studio to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4834AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4834AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4834AP03.JPG,$200 off first month,Downtown location,Rooftop with city views,Modern finishes,Pet-friendly,Habitat Locators,2016,500,1200,3,true,281/969-3042,,3800 Main St,"3550 Main St, Houston, TX 77002",confirmed,,29.7393795,-95.3793962,"1,095-1,853",1095,1853,"1,365-2,380",1365,2380,https://www.3800main.com/,https://www.3800main.com/,2026-05-27T23:26:57
15,Azalea Trace,5110 Azalea Trace Dr,Houston,TX,1600,2000,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/2301AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/2301AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/2301AP03.JPG,Move-in special: $300 off,Quiet residential area,Community pool,Spacious floor plans,Cats and dogs welcome,Habitat Locators,2012,700,1150,3,true,(888) 481-7348,,"5110 Azalea Trace Dr., Houston, TX 77066","5110 Azalea Trace Dr, Houston, TX 77066",confirmed,,29.9594202,-95.4957524,765-865,765,865,,,,https://www.51tentownhomes.com/,https://www.51tentownhomes.com/,2026-05-27T23:27:26
16,International Blvd Apartments,722 International Blvd,Houston,TX,1750,2250,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1696AP03.JPG,Free month on 12-month lease,Convenient location,Fitness center and pool,Modern kitchens,Pet-friendly,Habitat Locators,2014,650,1100,3,true,713/686-9900,,"722 International Blvd Houston, TX 77024","722 International Blvd, Houston, TX 77024",confirmed,,29.7810429,-95.4767127,"735-1,460",735,1460,"1,185-1,735",1185,1735,https://www.9900onmemorial.com/,https://www.9900onmemorial.com/,2026-05-27T23:28:11
17,Cypress Rosehill,20102 Cypress Rosehill Rd,Tomball,TX,1450,1850,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3578CP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3578CP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3578CP03.JPG,Move-in special: $250 off,Suburban living,Pool and recreation area,Washer/dryer in unit,Small pets welcome,Habitat Locators,2011,600,1050,3,true,,,,,,,,,,,,,,,,,
18,Long Prairie Trace,5555 Long Prairie Trace,Richmond,TX,1500,1900,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4870AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4870AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4870AP03.JPG,Free month on lease,Family-friendly,Playground and picnic areas,Modern appliances,Pets welcome,Habitat Locators,2010,650,1100,3,true,,,,,,,,,,,,,,,,,
19,Buffalo Speedway Apartments,9955 Buffalo Speedway,Houston,TX,1800,2300,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4142AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4142AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4142AP03.JPG,$300 off per month,Great location,Pool and fitness center,Granite countertops,Dogs and cats allowed,Habitat Locators,2013,700,1200,3,true,,,,,,,,,,,,,,,,,
500C,500 Crawford,500 Crawford St,Houston,TX,2000,2800,1x1 to 2x2,/manus-storage/01_3fa5b0e3.jpg,/manus-storage/02_ba0a3af4.jpg|/manus-storage/03_e9b8a649.jpg,Downtown living special,Urban loft-style apartments,Rooftop lounge,Exposed brick and high ceilings,Pet-friendly,Habitat Locators,2015,700,1250,3,true,(713) 222-0500,,"500 Crawford HOUSTON, TX 77002","500 Crawford St, Houston, TX 77002",confirmed,,29.7581348,-95.3575324,500,500,500,"1,266",1266,1266,https://www.500crawford.com/,https://www.500crawford.com/,2026-05-27T23:27:07
611S,611 Shepherd,611 Shepherd Dr,Houston,TX,1550,1950,1x1 to 2x2,/manus-storage/08_421c69f9.jpg,/manus-storage/02_cc5cf4ae.jpg|/manus-storage/03_814d7edd.jpg,Move-in special: First month free,Well-maintained community,Community pool and recreation,Updated kitchens,Pets allowed,Habitat Locators,2010,600,1050,3,true,(346) 644-8952,,611 Shepherd Dr,"611 Shepherd Dr, Houston, TX 77007",confirmed,,29.767621,-95.4103015,717,717,717,"2,009-2,674",2009,2674,https://611shepherd.com/,https://611shepherd.com/,2026-05-27T23:27:38
7RW,7 Riverway,7 Riverway,Houston,TX,1900,2600,1x1 to 2x2,/manus-storage/01_a822391e.jpg,/manus-storage/04_85dcc638.jpg|/manus-storage/05_6a899a9d.jpg,Luxury move-in package,Premium finishes throughout,Concierge service,Smart home features,Pet-friendly with no breed restrictions,Habitat Locators,2019,800,1400,3,true,(832) 558-5872,7riverway@willowbridgepc.com,"3 Riverway Dr, Houston, TX 77056","7 Riverway, Houston, TX 77056",confirmed,,29.7617354,-95.4613444,"1,056",1056,1056,"3,246-5,926",3246,5926,https://www.7riverway.com/,https://www.7riverway.com/,2026-05-27T23:27:47
TOP11,The Carlton,"3805 W Alabama St, Houston, TX 77027",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,750.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,281/767-4248,info@thecarlton.com,64 Albert Road,"3805 W Alabama St, Houston, TX 77027",mismatch,"scraped='64 Albert Road' | google='3805 W Alabama St, Houston, TX 77027'",29.7371104,-95.439455,"1,245-1,857",1245,1857,"1,712-1,933",1712,1933,https://thecarlton.com,https://thecarlton.com,2026-05-28T01:21:17
TOP12,The McCarthy,"9789 Katy Frwy, Houston, TX 77024",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,750.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,346/708-5050,interested@domainmarket.com,24 hours after wire clears St,"9789 Katy Fwy, Houston, TX 77024",mismatch,"scraped='24 hours after wire clears St' | google='9789 Katy Fwy, Houston, TX 77024'",29.782788,-95.5343336,"1,712-3,172",1712,3172,"2,873-5,196",2873,5196,https://themccarthy.com,https://themccarthy.com,2026-05-28T01:28:46
TOP13,The Oaks,"9310 N Sam Houston Pkwy, Humble, TX 77396",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,750.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,346/483-8845,,321 Players Club Drive,"9310 N Sam Houston Pkwy E, Humble, TX 77396",mismatch,"scraped='321 Players Club Drive' | google='9310 N Sam Houston Pkwy E, Humble, TX 77396'",29.9334049,-95.25388149999999,"1,135-1,728",1135,1728,"1,276-2,245",1276,2245,https://theoaks.com,https://theoaks.com,2026-05-28T01:30:48
TOP14,2222 Smith Street,"2222 Smith, Houston, TX 77002",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,500.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,346/742-2012,,,"2222 Smith St, Houston, TX 77002",google_only,,29.749483,-95.37704889999999,"1,072-1,432",1072,1432,"1,615-2,076",1615,2076,https://www.2222smithstreet.com/,https://www.2222smithstreet.com/,2026-05-27T23:24:54
TOP15,Assembly Heights,"525 Yale St, Houston, TX 77007",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,500.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,833/816-9799,,525 Yale Street,"525 Yale St, Houston, TX 77007",confirmed,,29.7802214,-95.39909,"1,520-2,655",1520,2655,"2,455-3,258",2455,3258,https://assemblyhistoricheights.com/,https://assemblyhistoricheights.com/,2026-05-27T23:36:32
TOP16,Broadstone Vintage Park,"14700 Vintage Preserve Pkwy, Houston, TX 77070",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,500.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,(832) 263-2905,,"14700 Vintage Preserve Pkwy Houston, TX 77070","14700 Vintage Preserve Pkwy, Houston, TX 77070",confirmed,,29.9926053,-95.5651032,"1,096-1,476",1096,1476,"1,492-2,655",1492,2655,https://www.broadstonevintagepark.com/,https://www.broadstonevintagepark.com/,2026-05-27T23:43:34
TOP17,Cascade At Fountain Lake,"10502 Fountain Lake Dr, Stafford, TX 77477",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,500.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,281/494-9500,cf@rockwellmgmt.com,"10502 Fountain Lake Dr Stafford, TX 77477","10502 Fountain Lake Dr, Stafford, TX 77477",confirmed,,29.6376678,-95.5915974,"1,100-1,588",1100,1588,"1,470-1,870",1470,1870,https://www.cascadefountainlake.com/,https://www.cascadefountainlake.com/,2026-05-27T23:47:02
TOP18,Cherrybrook Place,"2320 Cherrybrook Ln, Pasadena, TX 77502",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,500.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,713/941-7516,,,"2320 Cherry Brook Ln, Pasadena, TX 77502",google_only,,29.6760414,-95.17937979999999,"830-1,016",830,1016,"979-1,223",979,1223,,,2026-05-27T23:49:19
TOP19,Cypress Lake,"555 Butterfield Rd, Houston, TX 77090",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,500.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,281/397-0307,,"555 Butterfield Road Houston, TX 77090","555 Butterfield Rd, Houston, TX 77090",confirmed,,30.0155621,-95.4355255,"919-1,119",919,1119,"1,294-1,534",1294,1534,https://www.cypresslakeapartments.com/,https://www.cypresslakeapartments.com/,2026-05-27T23:53:37
REM241,Pearl Residences At CityCentre,4600 East Washington Street,Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,346/589-5291,,4600 East Washington Street,"10402 Town & Country Way, Houston, TX 77024",mismatch,"scraped='4600 East Washington Street' | google='10402 Town & Country Way, Houston, TX 77024'",29.7815529,-95.5543316,"1,640-2,081",1640,2081,"2,169-3,166",2169,3166,https://www.pearlcitycentre.com/?switch_cls[id]=64600&utm_source=google%20-%20entrataseo&utm_medium=organic&utm_campaign=gmb&utm_content=website%20click,https://www.pearlcitycentre.com/?switch_cls[id]=64600&utm_source=google%20-%20entrataseo&utm_medium=organic&utm_campaign=gmb&utm_content=website%20click,2026-05-28T01:01:09
TOP21,Pearl Marketplace At Midtown,"3120 Smith St, Houston, TX 77006",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,500.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,346/553-8172,,4600 East Washington Street,"3120 Smith St, Houston, TX 77006",mismatch,"scraped='4600 East Washington Street' | google='3120 Smith St, Houston, TX 77006'",29.7444878,-95.380286,"1,678-2,052",1678,2052,"1,973-3,235",1973,3235,https://www.pearlmarketplaceatmidtown.com/?switch_cls[id]=64600&utm_source=google%20-%20entrataseo&utm_medium=organic&utm_campaign=gmb&utm_content=website%20click,https://www.pearlmarketplaceatmidtown.com/?switch_cls[id]=64600&utm_source=google%20-%20entrataseo&utm_medium=organic&utm_campaign=gmb&utm_content=website%20click,2026-05-28T01:01:25
TOP22,Spencer At Park Row,"15335 Park Row, Houston, TX 77084",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,500.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,346/298-7139,,,"15335 Park Row Blvd, Houston, TX 77084",google_only,,29.7876352,-95.65397949999999,"1,250-1,480",1250,1480,"1,400-1,970",1400,1970,https://www.spencerparkrow.com/spencer-park-row-houston-tx/?utm_knock=g,https://www.spencerparkrow.com/spencer-park-row-houston-tx/?utm_knock=g,2026-05-28T01:12:36
TOP23,The Essex House,"3919 Essex Ln, Houston, TX 77027",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,500.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,713/622-4644,accessibility@atriaseniorliving.com,20 N 12th Street,"3919 Essex Ln, Houston, TX 77027",mismatch,"scraped='20 N 12th Street' | google='3919 Essex Ln, Houston, TX 77027'",29.7395128,-95.4429603,"1,230-1,690",1230,1690,"1,581-1,869",1581,1869,https://essexhouse.net,https://essexhouse.net,2026-05-28T01:22:40
TOP24,The Gael,"4000 Essex Ln, Houston, TX 77027",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,500.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,832/979-9522,,,"4000 Essex Ln, Houston, TX 77027",google_only,,29.7400932,-95.4446174,"1,226-1,769",1226,1769,"1,696-1,865",1696,1865,http://www.thegaelapartments.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D&utm_source=googlemybusiness&utm_medium=organic&utm_campaign=gmblisting,http://www.thegaelapartments.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D&utm_source=googlemybusiness&utm_medium=organic&utm_campaign=gmblisting,2026-05-28T01:23:26
TOP25,The Hamilton,"1800 St Joseph Pkwy, Houston, TX 77003",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,500.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,713/654-2181,billing@hoastart.com,,"1800 St Joseph Pkwy, Houston, TX 77003",google_only,,29.7456818,-95.3630013,"1,371-1,855",1371,1855,"1,635-2,062",1635,2062,https://thehamilton.net,https://thehamilton.net,2026-05-28T01:25:03
TOP26,The Park At Clear Lake,"1239 Bay Area Blvd, Houston, TX 77058",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,500.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,281/488-8560,thepark@keenermanage.com,"1239 Bay Area Boulevard, Houston, TX 77058","1239 Bay Area Blvd, Houston, TX 77058",confirmed,,29.5599692,-95.1168249,785,785,785,929-995,929,995,https://theparkatclearlake.com,https://theparkatclearlake.com,2026-05-28T01:31:12
TOP27,2800 Tranquility,"2800 Tranquility Lake Blvd, Pearland, TX 77584",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,300.0% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,(781) 281-9475,,2800 Tranquility Lake Boulevard,"2800 Tranquility Tr, Pearland, TX 77584",mismatch,"scraped='2800 Tranquility Lake Boulevard' | google='2800 Tranquility Tr, Pearland, TX 77584'",29.556034,-95.289305,"1,100-1,450",1100,1450,"1,470-1,725",1470,1725,https://www.2800tranquility.com/,https://www.2800tranquility.com/,2026-05-27T23:26:00
